EST_ORIGINAL_COMPLETION_DATE,coordinates,APPROXIMATE_GFA,FMEL_UPD_D,ADDRESS_MYENV,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,DESCRIPTION,ADDRESSBUILDINGNAME,ADDRESSBLOCKHOUSENUMBER,AWARDED_DATE,INC_CRC,PHOTOURL,NAME,INFO_ON_CO_LOCATORS,HUP_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,LANDXADDRESSPOINT,IMPLEMENTATION_DATE
30/4/1979,"103.924844235398,1.33178125123252,0.0",,20221012163049,"Blk 538, Bedok North Street 3, Singapore 460538",Bedok North Street 3,460538,HUP Standard Upgrading,,538,,F1A5DD5A43FF421C,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,Bedok North Street 3 Blk 538,,3/12/2010,Existing,34887.31,38185.86,
30/6/1977,"103.938732580554,1.33198706861747,0.0",,20221012163049,"Blk 85, Bedok North Street 4, Singapore 460085",Bedok North Street 4,460085,HUP Standard Upgrading,,85,,CFC780A15F1768CE,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,Bedok North Street 4 Blk 85 (85 Fengshan Centre),,20/12/2012,Existing,34910.13,39731.49,
1974,"103.814165010384,1.32413422253318,0.0",941.5,20221012163049,"2, Adam Road, Singapore 289876",Adam Road,289876,HUP Standard Upgrading,,2,,EC26BEACF101BAE8,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,Adam Road Food Centre,,30/4/2002,Existing,34041.56,25868.4,
15/9/1978,"103.88701902611,1.32064829234987,0.0",,20221012163049,"Blk 117, Aljunied Ave 2, Singapore 380117",Aljunied Ave 2,380117,HUP Standard Upgrading,,117,,AA7744C0AE070F52,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),,30/11/2005,Existing,33656.16,33976.33,
1983,"103.846606784092,1.27921844263269,0.0",3539,20221012163049,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",Telok Ayer Street,69111,HUP Standard Upgrading,National Development Building,,,81106E05A4877BB2,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,Amoy Street Food Centre (Telok Ayer Food Centre),,17/2/2003,Existing,29075,29478.87,
13/10/1976,"103.839231344066,1.36678764523637,0.0",,20221012163049,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",Ang Mo Kio Ave 1,564226,HUP Standard Upgrading,,226D,,0177924BFEEDB123,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),,20/1/2010,Existing,38757.95,28658.02,
1979,"103.848254220438,1.36410517096399,0.0",,20221012163049,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",Ang Mo Kio Ave 1,560341,HUP Rebuilding,,341,,07D7927B914C0CDF,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),,1/3/2002,Existing,38461.34,29662.16,
31/7/1979,"103.855369790045,1.36276891777383,0.0",,20221012163049,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",Ang Mo Kio Ave 10,560409,HUP Standard Upgrading,,409,,6728AD9499690403,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),,28/11/2011,Existing,38313.59,30454.04,
11/4/1979,"103.856351437414,1.36824049310006,0.0",,20221012163049,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",Ang Mo Kio Ave 10,561453,HUP Standard Upgrading,,453A,,D0070B6780E2F7EB,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),,1/1/2002,Existing,38918.61,30563.28,
24/12/1979,"103.854482811591,1.37276992816898,0.0",,20221012163049,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",Ang Mo Kio Ave 10,560527,HUP Reconfiguration,,527,,46587340BA928880,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),,21/2/2004,Existing,39419.45,30355.32,
